INDEX_KEY,CRTR_YM,CTPV_NM,SGG_NM,DONG_NM,BDCT_TYPE_CLS,GNR_LCLAS_NM,GNR_MLSFC_NM,HLDY_YN,AVG_WTCH_NT,AVG_WTCH_HR_MIN,DAWN_WTCH_HR_MIN,MORN_WTCH_HR_MIN,AFN_WTCH_HR_MIN,NGHT_WTCH_HR_MIN
LI122100020003LI12210002000300121,202012,강원도,강릉시,강남동,LINEAR_TV,게임,오락,0,3,12,4,9,14,6
LI122100020003LI12210002000300122,202012,강원도,강릉시,강남동,LINEAR_TV,게임,오락,1,3,11,17,5,7,6
LI122100020003LI12210002000300123,202012,강원도,강릉시,강동면,LINEAR_TV,게임,오락,0,3,10,,0,23,5
LI122100020003LI12210002000300124,202012,강원도,강릉시,경포동,LINEAR_TV,게임,오락,0,4,11,11,10,7,7
LI122100020003LI12210002000300125,202012,강원도,강릉시,경포동,LINEAR_TV,게임,오락,1,3,14,4,1,6,23
LI122100020003LI12210002000300126,202012,강원도,강릉시,교1동,LINEAR_TV,게임,오락,0,4,18,17,11,16,10
LI122100020003LI12210002000300127,202012,강원도,강릉시,교1동,LINEAR_TV,게임,오락,1,3,10,10,5,6,8
LI122100020003LI12210002000300128,202012,강원도,강릉시,교2동,LINEAR_TV,게임,오락,0,3,10,3,4,4,12
LI122100020003LI12210002000300129,202012,강원도,강릉시,교2동,LINEAR_TV,게임,오락,1,3,10,6,4,5,10
LI122100020003LI122100020003001210,202012,강원도,강릉시,구정면,LINEAR_TV,게임,오락,0,3,2,1,0,1,1
LI122100020003LI122100020003001211,202012,강원도,강릉시,구정면,LINEAR_TV,게임,오락,1,2,4,15,0,1,4
LI122100020003LI122100020003001212,202012,강원도,강릉시,내곡동,LINEAR_TV,게임,오락,0,4,15,23,5,9,9
LI122100020003LI122100020003001213,202012,강원도,강릉시,내곡동,LINEAR_TV,게임,오락,1,3,6,5,3,3,7
LI122100020003LI122100020003001214,202012,강원도,강릉시,사천면,LINEAR_TV,게임,오락,0,2,3,1,0,,6
LI122100020003LI122100020003001215,202012,강원도,강릉시,사천면,LINEAR_TV,게임,오락,1,2,18,44,0,5,6
LI122100020003LI122100020003001216,202012,강원도,강릉시,성덕동,LINEAR_TV,게임,오락,0,4,20,17,22,17,10
