﻿"INDEX_KEY","CRTR_YM","CTPV_NM","SGG_NM","DONG_NM","BDCT_TYPE_CLS","GNR_LCLAS_NM","GNR_MLSFC_NM","HLDY_YN","AVG_WTCH_NT","AVG_WTCH_HR_MIN","DAWN_WTCH_HR_MIN","MORN_WTCH_HR_MIN","AFN_WTCH_HR_MIN","NGHT_WTCH_HR_MIN"
"LI122100020010LI12210002001006161","202012","강원도","강릉시","강남동","LINEAR_TV","공연/음악","기타","0","12","151","26","35","49","110"
"LI122100020010LI12210002001006162","202012","강원도","강릉시","강남동","LINEAR_TV","공연/음악","기타","1","11","142","19","25","87","67"
"LI122100020010LI12210002001006163","202012","강원도","강릉시","강남동","LINEAR_TV","공연/음악","콘서트","0","2","13","14","3","24","1"
"LI122100020010LI12210002001006164","202012","강원도","강릉시","강남동","LINEAR_TV","공연/음악","콘서트","1","3","15","15","0","14","9"
"LI122100020010LI12210002001006165","202012","강원도","강릉시","강남동","LINEAR_TV","공연/음악","클래식","0","2","4","0","0","0","9"
"LI122100020010LI12210002001006166","202012","강원도","강릉시","강남동","LINEAR_TV","공연/음악","클래식","1","2","1","2","0","1","2"
"LI122100020010LI12210002001006167","202012","강원도","강릉시","강동면","LINEAR_TV","공연/음악","기타","0","9","111","17","27","31","101"
"LI122100020010LI12210002001006168","202012","강원도","강릉시","강동면","LINEAR_TV","공연/음악","기타","1","10","132","13","20","98","66"
"LI122100020010LI12210002001006169","202012","강원도","강릉시","강동면","LINEAR_TV","공연/음악","콘서트","1","2","10","2","","9","6"
"LI122100020010LI122100020010061610","202012","강원도","강릉시","경포동","LINEAR_TV","공연/음악","기타","0","10","120","19","19","31","104"
"LI122100020010LI122100020010061611","202012","강원도","강릉시","경포동","LINEAR_TV","공연/음악","기타","1","9","97","11","21","66","48"
"LI122100020010LI122100020010061612","202012","강원도","강릉시","경포동","LINEAR_TV","공연/음악","콘서트","0","2","18","20","","0","5"
"LI122100020010LI122100020010061613","202012","강원도","강릉시","경포동","LINEAR_TV","공연/음악","콘서트","1","2","17","12","60","17","11"
"LI122100020010LI122100020010061614","202012","강원도","강릉시","경포동","LINEAR_TV","공연/음악","클래식","0","3","3","1","3","4","3"
"LI122100020010LI122100020010061615","202012","강원도","강릉시","경포동","LINEAR_TV","공연/음악","클래식","1","2","2","","1","3","1"
"LI122100020010LI122100020010061616","202012","강원도","강릉시","교1동","LINEAR_TV","공연/음악","기타","0","11","137","19","24","37","112"
"LI122100020010LI122100020010061617","202012","강원도","강릉시","교1동","LINEAR_TV","공연/음악","기타","1","11","122","13","18","73","60"
"LI122100020010LI122100020010061618","202012","강원도","강릉시","교1동","LINEAR_TV","공연/음악","콘서트","0","2","14","13","10","17","12"
"LI122100020010LI122100020010061619","202012","강원도","강릉시","교1동","LINEAR_TV","공연/음악","콘서트","1","3","16","8","22","14","11"
"LI122100020010LI122100020010061620","202012","강원도","강릉시","교1동","LINEAR_TV","공연/음악","클래식","0","3","9","0","13","9","1"
"LI122100020010LI122100020010061621","202012","강원도","강릉시","교1동","LINEAR_TV","공연/음악","클래식","1","3","10","0","18","5","0"
"LI122100020010LI122100020010061622","202012","강원도","강릉시","교2동","LINEAR_TV","공연/음악","기타","0","12","153","26","25","42","119"
"LI122100020010LI122100020010061623","202012","강원도","강릉시","교2동","LINEAR_TV","공연/음악","기타","1","10","131","18","30","80","59"
"LI122100020010LI122100020010061624","202012","강원도","강릉시","교2동","LINEAR_TV","공연/음악","콘서트","0","2","13","14","0","5","0"
"LI122100020010LI122100020010061625","202012","강원도","강릉시","교2동","LINEAR_TV","공연/음악","콘서트","1","3","16","5","","11","13"
"LI122100020010LI122100020010061626","202012","강원도","강릉시","교2동","LINEAR_TV","공연/음악","클래식","0","2","1","0","1","1","1"
"LI122100020010LI122100020010061627","202012","강원도","강릉시","교2동","LINEAR_TV","공연/음악","클래식","1","2","1","0","4","0","0"
"LI122100020010LI122100020010061628","202012","강원도","강릉시","구정면","LINEAR_TV","공연/음악","기타","0","20","216","123","41","63","108"
"LI122100020010LI122100020010061629","202012","강원도","강릉시","구정면","LINEAR_TV","공연/음악","기타","1","15","167","44","26","105","62"
"LI122100020010LI122100020010061630","202012","강원도","강릉시","구정면","LINEAR_TV","공연/음악","콘서트","0","6","30","31","4","10",""
"LI122100020010LI122100020010061631","202012","강원도","강릉시","구정면","LINEAR_TV","공연/음악","콘서트","1","3","15","32","","7","8"
"LI122100020010LI122100020010061632","202012","강원도","강릉시","구정면","LINEAR_TV","공연/음악","클래식","0","2","1","1","1","","0"
"LI122100020010LI122100020010061633","202012","강원도","강릉시","내곡동","LINEAR_TV","공연/음악","기타","0","11","132","21","22","35","107"
"LI122100020010LI122100020010061634","202012","강원도","강릉시","내곡동","LINEAR_TV","공연/음악","기타","1","11","127","17","21","70","66"
"LI122100020010LI122100020010061635","202012","강원도","강릉시","내곡동","LINEAR_TV","공연/음악","콘서트","0","2","14","17","","10","0"
"LI122100020010LI122100020010061636","202012","강원도","강릉시","내곡동","LINEAR_TV","공연/음악","콘서트","1","3","14","9","","13","10"
"LI122100020010LI122100020010061637","202012","강원도","강릉시","내곡동","LINEAR_TV","공연/음악","클래식","0","2","11","24","15","7","1"
"LI122100020010LI122100020010061638","202012","강원도","강릉시","내곡동","LINEAR_TV","공연/음악","클래식","1","2","1","0","1","0","2"
"LI122100020010LI122100020010061639","202012","강원도","강릉시","사천면","LINEAR_TV","공연/음악","기타","0","11","137","28","49","49","91"
