INDEX_KEY,CRTR_YM,CTPV_NM,SGG_NM,DONG_NM,BDCT_TYPE_CLS,GNR_LCLAS_NM,GNR_MLSFC_NM,HLDY_YN,AVG_WTCH_NT,AVG_WTCH_HR_MIN,DAWN_WTCH_HR_MIN,MORN_WTCH_HR_MIN,AFN_WTCH_HR_MIN,NGHT_WTCH_HR_MIN
LI122100020006LI12210002000600221,202012,강원도,강릉시,강남동,LINEAR_TV,교육,고등_수능,0,2,4,14,1,1,5
LI122100020006LI12210002000600222,202012,강원도,강릉시,강남동,LINEAR_TV,교육,고등_수능,1,2,11,37,2,7,1
LI122100020006LI12210002000600223,202012,강원도,강릉시,강남동,LINEAR_TV,교육,교육,0,4,26,14,24,13,16
LI122100020006LI12210002000600224,202012,강원도,강릉시,강남동,LINEAR_TV,교육,교육,1,2,8,14,7,5,0
LI122100020006LI12210002000600225,202012,강원도,강릉시,강남동,LINEAR_TV,교육,기타,0,2,4,,,5,2
LI122100020006LI12210002000600226,202012,강원도,강릉시,강남동,LINEAR_TV,교육,방송대학,0,2,0,0,1,1,0
LI122100020006LI12210002000600227,202012,강원도,강릉시,강남동,LINEAR_TV,교육,방송대학,1,2,14,1,7,37,1
LI122100020006LI12210002000600228,202012,강원도,강릉시,강남동,LINEAR_TV,교육,외국어강좌,0,5,27,4,36,18,10
LI122100020006LI12210002000600229,202012,강원도,강릉시,강남동,LINEAR_TV,교육,외국어강좌,1,3,10,4,8,9,8
LI122100020006LI122100020006002210,202012,강원도,강릉시,강남동,LINEAR_TV,교육,자격증강좌,0,2,2,,0,2,2
LI122100020006LI122100020006002211,202012,강원도,강릉시,강남동,LINEAR_TV,교육,중등,0,2,4,,1,4,3
LI122100020006LI122100020006002212,202012,강원도,강릉시,강남동,LINEAR_TV,교육,중등,1,2,7,,0,8,4
LI122100020006LI122100020006002213,202012,강원도,강릉시,강동면,LINEAR_TV,교육,교육,0,4,36,12,45,28,17
LI122100020006LI122100020006002214,202012,강원도,강릉시,강동면,LINEAR_TV,교육,교육,1,2,9,16,39,6,1
LI122100020006LI122100020006002215,202012,강원도,강릉시,강동면,LINEAR_TV,교육,외국어강좌,0,5,33,19,89,17,5
LI122100020006LI122100020006002216,202012,강원도,강릉시,강동면,LINEAR_TV,교육,외국어강좌,1,2,11,2,10,12,6
LI122100020006LI122100020006002217,202012,강원도,강릉시,경포동,LINEAR_TV,교육,고등_수능,0,2,1,0,0,0,1
LI122100020006LI122100020006002218,202012,강원도,강릉시,경포동,LINEAR_TV,교육,고등_수능,1,2,8,,116,0,0
LI122100020006LI122100020006002219,202012,강원도,강릉시,경포동,LINEAR_TV,교육,교육,0,4,24,14,28,12,13
LI122100020006LI122100020006002220,202012,강원도,강릉시,경포동,LINEAR_TV,교육,교육,1,2,5,8,5,4,1
LI122100020006LI122100020006002221,202012,강원도,강릉시,경포동,LINEAR_TV,교육,기타,0,2,2,,,5,0
LI122100020006LI122100020006002222,202012,강원도,강릉시,경포동,LINEAR_TV,교육,방송대학,0,2,4,1,0,1,8
LI122100020006LI122100020006002223,202012,강원도,강릉시,경포동,LINEAR_TV,교육,방송대학,1,2,11,0,9,18,3
LI122100020006LI122100020006002224,202012,강원도,강릉시,경포동,LINEAR_TV,교육,외국어강좌,0,4,18,10,15,16,5
LI122100020006LI122100020006002225,202012,강원도,강릉시,경포동,LINEAR_TV,교육,외국어강좌,1,3,13,10,5,8,14
LI122100020006LI122100020006002226,202012,강원도,강릉시,경포동,LINEAR_TV,교육,중등,0,2,12,,0,24,4
LI122100020006LI122100020006002227,202012,강원도,강릉시,경포동,LINEAR_TV,교육,중등,1,2,13,,,4,19
LI122100020006LI122100020006002228,202012,강원도,강릉시,교1동,LINEAR_TV,교육,고등_수능,0,2,6,0,9,3,3
LI122100020006LI122100020006002229,202012,강원도,강릉시,교1동,LINEAR_TV,교육,고등_수능,1,2,1,0,0,5,0
LI122100020006LI122100020006002230,202012,강원도,강릉시,교1동,LINEAR_TV,교육,교육,0,4,26,15,22,11,17
LI122100020006LI122100020006002231,202012,강원도,강릉시,교1동,LINEAR_TV,교육,교육,1,2,8,8,10,7,2
LI122100020006LI122100020006002232,202012,강원도,강릉시,교1동,LINEAR_TV,교육,기타,0,2,1,,,1,2
LI122100020006LI122100020006002233,202012,강원도,강릉시,교1동,LINEAR_TV,교육,방송대학,0,2,7,24,0,2,0
LI122100020006LI122100020006002234,202012,강원도,강릉시,교1동,LINEAR_TV,교육,방송대학,1,2,1,,1,0,0
LI122100020006LI122100020006002235,202012,강원도,강릉시,교1동,LINEAR_TV,교육,외국어강좌,0,4,20,9,17,20,8
LI122100020006LI122100020006002236,202012,강원도,강릉시,교1동,LINEAR_TV,교육,외국어강좌,1,2,11,0,11,8,12
LI122100020006LI122100020006002237,202012,강원도,강릉시,교1동,LINEAR_TV,교육,자격증강좌,0,2,2,,1,0,4
LI122100020006LI122100020006002238,202012,강원도,강릉시,교1동,LINEAR_TV,교육,중등,0,3,12,,5,17,4
LI122100020006LI122100020006002239,202012,강원도,강릉시,교1동,LINEAR_TV,교육,중등,1,2,2,,0,3,2
LI122100020006LI122100020006002240,202012,강원도,강릉시,교2동,LINEAR_TV,교육,고등_수능,0,2,2,0,0,1,4
LI122100020006LI122100020006002241,202012,강원도,강릉시,교2동,LINEAR_TV,교육,고등_수능,1,1,0,,0,0,0
LI122100020006LI122100020006002242,202012,강원도,강릉시,교2동,LINEAR_TV,교육,교육,0,4,25,17,23,7,17
LI122100020006LI122100020006002243,202012,강원도,강릉시,교2동,LINEAR_TV,교육,교육,1,2,8,6,10,10,1
