INDEX_KEY,CRTR_YM,CTPV_NM,SGG_NM,DONG_NM,BDCT_TYPE_CLS,GNR_LCLAS_NM,GNR_MLSFC_NM,HLDY_YN,AVG_WTCH_NT,AVG_WTCH_HR_MIN,DAWN_WTCH_HR_MIN,MORN_WTCH_HR_MIN,AFN_WTCH_HR_MIN,NGHT_WTCH_HR_MIN
LI122100020007LI12210002000700231,202012,강원도,강릉시,강남동,LINEAR_TV,다큐,동물,0,5,39,10,10,42,14
LI122100020007LI12210002000700232,202012,강원도,강릉시,강남동,LINEAR_TV,다큐,동물,1,3,28,16,5,28,10
LI122100020007LI12210002000700233,202012,강원도,강릉시,강남동,LINEAR_TV,다큐,역사,0,2,23,15,9,13,23
LI122100020007LI12210002000700234,202012,강원도,강릉시,강남동,LINEAR_TV,다큐,역사,1,2,15,14,16,9,11
LI122100020007LI12210002000700235,202012,강원도,강릉시,강남동,LINEAR_TV,다큐,인물,0,2,19,2,3,11,33
LI122100020007LI12210002000700236,202012,강원도,강릉시,강남동,LINEAR_TV,다큐,인물,1,2,16,2,13,21,11
LI122100020007LI12210002000700237,202012,강원도,강릉시,강남동,LINEAR_TV,다큐,자연,0,3,21,12,8,15,37
LI122100020007LI12210002000700238,202012,강원도,강릉시,강남동,LINEAR_TV,다큐,자연,1,3,15,9,10,14,17
LI122100020007LI12210002000700239,202012,강원도,강릉시,강남동,VOD,다큐,역사_문화,0,3,36,,36,28,7
LI122100020007LI122100020007002310,202012,강원도,강릉시,강동면,LINEAR_TV,다큐,동물,0,4,32,35,5,36,3
LI122100020007LI122100020007002311,202012,강원도,강릉시,강동면,LINEAR_TV,다큐,동물,1,2,21,,7,21,0
LI122100020007LI122100020007002312,202012,강원도,강릉시,강동면,LINEAR_TV,다큐,역사,0,2,17,22,0,,16
LI122100020007LI122100020007002313,202012,강원도,강릉시,강동면,LINEAR_TV,다큐,인물,1,2,12,2,0,30,3
LI122100020007LI122100020007002314,202012,강원도,강릉시,강동면,LINEAR_TV,다큐,자연,0,2,16,2,10,21,0
LI122100020007LI122100020007002315,202012,강원도,강릉시,강동면,LINEAR_TV,다큐,자연,1,2,15,2,9,15,30
LI122100020007LI122100020007002316,202012,강원도,강릉시,경포동,LINEAR_TV,다큐,동물,0,4,37,2,11,43,10
LI122100020007LI122100020007002317,202012,강원도,강릉시,경포동,LINEAR_TV,다큐,동물,1,3,28,3,6,30,10
LI122100020007LI122100020007002318,202012,강원도,강릉시,경포동,LINEAR_TV,다큐,역사,0,2,14,4,0,27,14
LI122100020007LI122100020007002319,202012,강원도,강릉시,경포동,LINEAR_TV,다큐,역사,1,2,18,51,1,0,22
LI122100020007LI122100020007002320,202012,강원도,강릉시,경포동,LINEAR_TV,다큐,인물,0,2,9,1,1,8,13
LI122100020007LI122100020007002321,202012,강원도,강릉시,경포동,LINEAR_TV,다큐,인물,1,2,35,8,13,61,24
LI122100020007LI122100020007002322,202012,강원도,강릉시,경포동,LINEAR_TV,다큐,자연,0,2,14,4,7,17,7
LI122100020007LI122100020007002323,202012,강원도,강릉시,경포동,LINEAR_TV,다큐,자연,1,2,12,3,7,13,20
LI122100020007LI122100020007002324,202012,강원도,강릉시,교1동,LINEAR_TV,다큐,동물,0,4,32,12,10,36,9
LI122100020007LI122100020007002325,202012,강원도,강릉시,교1동,LINEAR_TV,다큐,동물,1,3,25,7,11,25,8
LI122100020007LI122100020007002326,202012,강원도,강릉시,교1동,LINEAR_TV,다큐,역사,0,2,18,20,25,11,16
LI122100020007LI122100020007002327,202012,강원도,강릉시,교1동,LINEAR_TV,다큐,역사,1,2,10,14,3,6,4
LI122100020007LI122100020007002328,202012,강원도,강릉시,교1동,LINEAR_TV,다큐,인물,0,2,5,4,4,4,5
LI122100020007LI122100020007002329,202012,강원도,강릉시,교1동,LINEAR_TV,다큐,인물,1,2,11,5,9,15,5
LI122100020007LI122100020007002330,202012,강원도,강릉시,교1동,LINEAR_TV,다큐,자연,0,3,14,13,8,11,12
LI122100020007LI122100020007002331,202012,강원도,강릉시,교1동,LINEAR_TV,다큐,자연,1,2,11,6,8,10,14
LI122100020007LI122100020007002332,202012,강원도,강릉시,교1동,VOD,다큐,역사_문화,0,4,69,,21,84,17
LI122100020007LI122100020007002333,202012,강원도,강릉시,교1동,VOD,다큐,자연_동물,0,3,79,,40,58,69
LI122100020007LI122100020007002334,202012,강원도,강릉시,교2동,LINEAR_TV,다큐,동물,0,4,36,8,8,41,8
LI122100020007LI122100020007002335,202012,강원도,강릉시,교2동,LINEAR_TV,다큐,동물,1,3,25,4,13,24,7
LI122100020007LI122100020007002336,202012,강원도,강릉시,교2동,LINEAR_TV,다큐,역사,0,2,22,18,11,11,22
LI122100020007LI122100020007002337,202012,강원도,강릉시,교2동,LINEAR_TV,다큐,역사,1,2,17,13,22,0,16
LI122100020007LI122100020007002338,202012,강원도,강릉시,교2동,LINEAR_TV,다큐,인물,0,3,30,1,92,9,38
