INDEX_KEY,CRTR_YM,CTPV_NM,SGG_NM,DONG_NM,BDCT_TYPE_CLS,GNR_LCLAS_NM,GNR_MLSFC_NM,HLDY_YN,AVG_WTCH_NT,AVG_WTCH_HR_MIN,DAWN_WTCH_HR_MIN,MORN_WTCH_HR_MIN,AFN_WTCH_HR_MIN,NGHT_WTCH_HR_MIN
LI122100020009LI12210002000900271,202012,강원도,강릉시,강남동,LINEAR_TV,라이프,기타,0,38,209,56,58,82,75
LI122100020009LI12210002000900272,202012,강원도,강릉시,강남동,LINEAR_TV,라이프,기타,1,17,94,30,27,41,31
LI122100020009LI12210002000900273,202012,강원도,강릉시,강남동,LINEAR_TV,라이프,리빙,0,2,6,7,5,4,7
LI122100020009LI12210002000900274,202012,강원도,강릉시,강남동,LINEAR_TV,라이프,리빙,1,2,1,2,1,1,
LI122100020009LI12210002000900275,202012,강원도,강릉시,강남동,LINEAR_TV,라이프,미용_패션,0,4,12,14,11,2,5
LI122100020009LI12210002000900276,202012,강원도,강릉시,강남동,LINEAR_TV,라이프,미용_패션,1,3,5,10,4,0,1
LI122100020009LI12210002000900277,202012,강원도,강릉시,강남동,LINEAR_TV,라이프,여행,0,7,45,12,25,12,35
LI122100020009LI12210002000900278,202012,강원도,강릉시,강남동,LINEAR_TV,라이프,여행,1,4,37,8,12,27,30
LI122100020009LI12210002000900279,202012,강원도,강릉시,강남동,LINEAR_TV,라이프,요리,0,3,15,2,20,1,5
LI122100020009LI122100020009002710,202012,강원도,강릉시,강남동,LINEAR_TV,라이프,요리,1,3,15,5,12,15,8
LI122100020009LI122100020009002711,202012,강원도,강릉시,강남동,VOD,라이프,예술,0,3,193,154,139,128,116
LI122100020009LI122100020009002712,202012,강원도,강릉시,강남동,VOD,라이프,예술,1,5,196,123,144,131,84
LI122100020009LI122100020009002713,202012,강원도,강릉시,강동면,LINEAR_TV,라이프,기타,0,19,109,67,39,58,48
