INDEX_KEY,CRTR_YM,CTPV_NM,SGG_NM,DONG_NM,BDCT_TYPE_CLS,GNR_LCLAS_NM,GNR_MLSFC_NM,HLDY_YN,AVG_WTCH_NT,AVG_WTCH_HR_MIN,DAWN_WTCH_HR_MIN,MORN_WTCH_HR_MIN,AFN_WTCH_HR_MIN,NGHT_WTCH_HR_MIN
LI122100020004LI12210002000400131,202012,강원도,강릉시,강남동,LINEAR_TV,시사/교양,경제,0,11,144,18,309,112,24
LI122100020004LI12210002000400132,202012,강원도,강릉시,강남동,LINEAR_TV,시사/교양,경제,1,5,30,6,53,23,7
LI122100020004LI12210002000400133,202012,강원도,강릉시,강남동,LINEAR_TV,시사/교양,기타,0,112,1191,172,410,342,459
LI122100020004LI12210002000400134,202012,강원도,강릉시,강남동,LINEAR_TV,시사/교양,기타,1,48,407,89,160,104,139
LI122100020004LI12210002000400135,202012,강원도,강릉시,강남동,LINEAR_TV,시사/교양,뉴스_시사,0,121,1417,146,580,369,560
LI122100020004LI12210002000400136,202012,강원도,강릉시,강남동,LINEAR_TV,시사/교양,뉴스_시사,1,40,421,66,196,126,136
LI122100020004LI12210002000400137,202012,강원도,강릉시,강남동,LINEAR_TV,시사/교양,문화_예술,0,2,13,7,2,15,7
LI122100020004LI12210002000400138,202012,강원도,강릉시,강남동,LINEAR_TV,시사/교양,문화_예술,1,2,10,15,3,9,3
LI122100020004LI12210002000400139,202012,강원도,강릉시,강남동,LINEAR_TV,시사/교양,의학_건강,0,5,28,16,12,15,18
LI122100020004LI122100020004001310,202012,강원도,강릉시,강남동,LINEAR_TV,시사/교양,의학_건강,1,4,17,8,15,6,10
LI122100020004LI122100020004001311,202012,강원도,강릉시,강동면,LINEAR_TV,시사/교양,경제,0,10,135,,537,13,58
LI122100020004LI122100020004001312,202012,강원도,강릉시,강동면,LINEAR_TV,시사/교양,기타,0,64,705,96,279,267,311
LI122100020004LI122100020004001313,202012,강원도,강릉시,강동면,LINEAR_TV,시사/교양,기타,1,38,338,68,138,95,125
LI122100020004LI122100020004001314,202012,강원도,강릉시,강동면,LINEAR_TV,시사/교양,뉴스_시사,0,91,1250,272,510,378,530
LI122100020004LI122100020004001315,202012,강원도,강릉시,강동면,LINEAR_TV,시사/교양,뉴스_시사,1,43,554,117,224,179,156
LI122100020004LI122100020004001316,202012,강원도,강릉시,강동면,LINEAR_TV,시사/교양,문화_예술,0,2,9,0,0,10,9
LI122100020004LI122100020004001317,202012,강원도,강릉시,강동면,LINEAR_TV,시사/교양,문화_예술,1,1,12,18,,11,1
LI122100020004LI122100020004001318,202012,강원도,강릉시,강동면,LINEAR_TV,시사/교양,의학_건강,0,5,35,0,29,13,22
LI122100020004LI122100020004001319,202012,강원도,강릉시,강동면,LINEAR_TV,시사/교양,의학_건강,1,4,20,3,22,1,11
LI122100020004LI122100020004001320,202012,강원도,강릉시,경포동,LINEAR_TV,시사/교양,경제,0,18,211,43,404,41,33
LI122100020004LI122100020004001321,202012,강원도,강릉시,경포동,LINEAR_TV,시사/교양,경제,1,4,8,2,11,14,3
LI122100020004LI122100020004001322,202012,강원도,강릉시,경포동,LINEAR_TV,시사/교양,기타,0,79,801,109,306,261,342
LI122100020004LI122100020004001323,202012,강원도,강릉시,경포동,LINEAR_TV,시사/교양,기타,1,36,295,63,114,86,118
LI122100020004LI122100020004001324,202012,강원도,강릉시,경포동,LINEAR_TV,시사/교양,뉴스_시사,0,97,1083,99,471,312,474
LI122100020004LI122100020004001325,202012,강원도,강릉시,경포동,LINEAR_TV,시사/교양,뉴스_시사,1,35,362,37,177,122,133
LI122100020004LI122100020004001326,202012,강원도,강릉시,경포동,LINEAR_TV,시사/교양,문화_예술,0,3,15,19,13,16,6
LI122100020004LI122100020004001327,202012,강원도,강릉시,경포동,LINEAR_TV,시사/교양,문화_예술,1,2,7,10,6,6,3
LI122100020004LI122100020004001328,202012,강원도,강릉시,경포동,LINEAR_TV,시사/교양,의학_건강,0,4,27,17,12,12,20
LI122100020004LI122100020004001329,202012,강원도,강릉시,경포동,LINEAR_TV,시사/교양,의학_건강,1,4,16,15,12,6,10
LI122100020004LI122100020004001330,202012,강원도,강릉시,교1동,LINEAR_TV,시사/교양,경제,0,34,269,30,360,111,114
LI122100020004LI122100020004001331,202012,강원도,강릉시,교1동,LINEAR_TV,시사/교양,경제,1,17,97,35,98,58,28
LI122100020004LI122100020004001332,202012,강원도,강릉시,교1동,LINEAR_TV,시사/교양,기타,0,102,1010,135,354,291,413
LI122100020004LI122100020004001333,202012,강원도,강릉시,교1동,LINEAR_TV,시사/교양,기타,1,45,364,75,134,95,140
LI122100020004LI122100020004001334,202012,강원도,강릉시,교1동,LINEAR_TV,시사/교양,뉴스_시사,0,120,1302,118,505,332,572
LI122100020004LI122100020004001335,202012,강원도,강릉시,교1동,LINEAR_TV,시사/교양,뉴스_시사,1,41,404,49,185,128,140
LI122100020004LI122100020004001336,202012,강원도,강릉시,교1동,LINEAR_TV,시사/교양,문화_예술,0,3,14,11,9,15,7
LI122100020004LI122100020004001337,202012,강원도,강릉시,교1동,LINEAR_TV,시사/교양,문화_예술,1,2,9,12,7,8,6
LI122100020004LI122100020004001338,202012,강원도,강릉시,교1동,LINEAR_TV,시사/교양,의학_건강,0,5,26,13,10,14,18
LI122100020004LI122100020004001339,202012,강원도,강릉시,교1동,LINEAR_TV,시사/교양,의학_건강,1,4,16,9,13,7,8
LI122100020004LI122100020004001340,202012,강원도,강릉시,교2동,LINEAR_TV,시사/교양,경제,0,38,579,273,744,233,182
LI122100020004LI122100020004001341,202012,강원도,강릉시,교2동,LINEAR_TV,시사/교양,경제,1,15,127,6,195,50,33
LI122100020004LI122100020004001342,202012,강원도,강릉시,교2동,LINEAR_TV,시사/교양,기타,0,103,1142,175,393,362,421
LI122100020004LI122100020004001343,202012,강원도,강릉시,교2동,LINEAR_TV,시사/교양,기타,1,43,393,91,153,105,133
LI122100020004LI122100020004001344,202012,강원도,강릉시,교2동,LINEAR_TV,시사/교양,뉴스_시사,0,126,1505,164,545,425,620
LI122100020004LI122100020004001345,202012,강원도,강릉시,교2동,LINEAR_TV,시사/교양,뉴스_시사,1,42,466,69,204,145,157
LI122100020004LI122100020004001346,202012,강원도,강릉시,교2동,LINEAR_TV,시사/교양,문화_예술,0,3,10,6,9,10,6
LI122100020004LI122100020004001347,202012,강원도,강릉시,교2동,LINEAR_TV,시사/교양,문화_예술,1,2,8,8,5,8,5
LI122100020004LI122100020004001348,202012,강원도,강릉시,교2동,LINEAR_TV,시사/교양,의학_건강,0,5,30,17,14,11,20
LI122100020004LI122100020004001349,202012,강원도,강릉시,교2동,LINEAR_TV,시사/교양,의학_건강,1,4,20,7,17,8,10
LI122100020004LI122100020004001350,202012,강원도,강릉시,구정면,LINEAR_TV,시사/교양,경제,0,3,6,2,5,0,10
