INDEX_KEY,CRTR_YM,CTPV_NM,SGG_NM,DONG_NM,BDCT_TYPE_CLS,GNR_LCLAS_NM,GNR_MLSFC_NM,HLDY_YN,AVG_WTCH_NT,AVG_WTCH_HR_MIN,DAWN_WTCH_HR_MIN,MORN_WTCH_HR_MIN,AFN_WTCH_HR_MIN,NGHT_WTCH_HR_MIN
LI122100020009LI12210002000900251,202012,강원도,강릉시,강남동,LINEAR_TV,정보,기타,0,2,10,9,0,13,3
LI122100020009LI12210002000900252,202012,강원도,강릉시,강남동,LINEAR_TV,정보,기타,1,1,0,0,0,0,
LI122100020009LI12210002000900253,202012,강원도,강릉시,강남동,LINEAR_TV,정보,부동산_재테크,0,2,6,1,7,6,6
LI122100020009LI12210002000900254,202012,강원도,강릉시,강남동,LINEAR_TV,정보,부동산_재테크,1,2,3,0,6,3,2
LI122100020009LI12210002000900255,202012,강원도,강릉시,강동면,LINEAR_TV,정보,기타,0,1,10,15,,,1
LI122100020009LI12210002000900256,202012,강원도,강릉시,강동면,LINEAR_TV,정보,부동산_재테크,0,2,1,,,1,
LI122100020009LI12210002000900257,202012,강원도,강릉시,강동면,LINEAR_TV,정보,부동산_재테크,1,1,1,,,1,
LI122100020009LI12210002000900258,202012,강원도,강릉시,경포동,LINEAR_TV,정보,기타,0,2,15,14,,19,1
LI122100020009LI12210002000900259,202012,강원도,강릉시,경포동,LINEAR_TV,정보,부동산_재테크,0,2,12,2,0,10,16
LI122100020009LI122100020009002510,202012,강원도,강릉시,경포동,LINEAR_TV,정보,부동산_재테크,1,2,3,0,14,1,2
LI122100020009LI122100020009002511,202012,강원도,강릉시,교1동,LINEAR_TV,정보,기타,0,2,11,14,1,10,3
LI122100020009LI122100020009002512,202012,강원도,강릉시,교1동,LINEAR_TV,정보,부동산_재테크,0,3,9,1,6,8,8
LI122100020009LI122100020009002513,202012,강원도,강릉시,교1동,LINEAR_TV,정보,부동산_재테크,1,2,7,3,6,7,2
LI122100020009LI122100020009002514,202012,강원도,강릉시,교2동,LINEAR_TV,정보,기타,0,2,15,15,6,15,6
LI122100020009LI122100020009002515,202012,강원도,강릉시,교2동,LINEAR_TV,정보,부동산_재테크,0,3,14,7,3,9,21
LI122100020009LI122100020009002516,202012,강원도,강릉시,교2동,LINEAR_TV,정보,부동산_재테크,1,3,9,0,8,7,11
LI122100020009LI122100020009002517,202012,강원도,강릉시,구정면,LINEAR_TV,정보,기타,0,2,3,3,,3,1
LI122100020009LI122100020009002518,202012,강원도,강릉시,구정면,LINEAR_TV,정보,부동산_재테크,0,2,2,1,0,3,
LI122100020009LI122100020009002519,202012,강원도,강릉시,구정면,LINEAR_TV,정보,부동산_재테크,1,2,3,15,0,3,0
LI122100020009LI122100020009002520,202012,강원도,강릉시,내곡동,LINEAR_TV,정보,기타,0,2,10,12,,10,4
